data_model,cache_kind,sequence_length,head_dim,heads,seed,transform_path,requested_retention_ratio,retained_components,total_components,actual_component_fraction,selected_frequency_energy_retention,reconstruction_energy_retention,reported_energy_retention,reconstruction_relative_mse,reconstruction_mse,metric_definition
historical_gaussian_rope_like,K,32,64,4,0,dct_ii_ortho,0.1,3,32,0.09375,0.0940144339796,0.0940144339796,0.0940144339796,0.90598556602,0.907412105098,orthonormal DCT-II; time-domain reconstruction energy
historical_gaussian_rope_like,K,32,64,4,0,dct_ii_ortho,0.25,8,32,0.25,0.25422741141,0.25422741141,0.25422741141,0.74577258859,0.746946860874,orthonormal DCT-II; time-domain reconstruction energy
historical_gaussian_rope_like,K,32,64,4,0,dct_ii_ortho,0.3,9,32,0.28125,0.284532409436,0.284532409436,0.284532409436,0.715467590564,0.716594145461,orthonormal DCT-II; time-domain reconstruction energy
historical_gaussian_rope_like,K,32,64,4,0,dct_ii_ortho,0.5,16,32,0.5,0.498645675321,0.498645675321,0.498645675321,0.501354324679,0.502143742924,orthonormal DCT-II; time-domain reconstruction energy
historical_gaussian_rope_like,K,32,64,4,0,dct_ii_ortho,0.7,22,32,0.6875,0.689854590469,0.689854590469,0.689854590469,0.310145409531,0.310633755662,orthonormal DCT-II; time-domain reconstruction energy
historical_gaussian_rope_like,K,32,64,4,0,dct_ii_ortho,0.75,24,32,0.75,0.753964614547,0.753964614547,0.753964614547,0.246035385453,0.246422785765,orthonormal DCT-II; time-domain reconstruction energy
historical_gaussian_rope_like,K,32,64,4,0,dct_ii_ortho,0.9,28,32,0.875,0.876745064731,0.876745064731,0.876745064731,0.123254935269,0.123449008981,orthonormal DCT-II; time-domain reconstruction energy
historical_gaussian_rope_like,K,32,64,4,0,rfft_parseval,0.1,1,17,0.0588235294118,0.0360755601659,0.0360755601659,0.0360755601659,0.963924439834,0.965442207812,rFFT with Parseval endpoint weights; complex coefficients preserved
historical_gaussian_rope_like,K,32,64,4,0,rfft_parseval,0.25,4,17,0.235294117647,0.222441564149,0.222441564149,0.222441564149,0.777558435851,0.778782757226,rFFT with Parseval endpoint weights; complex coefficients preserved
historical_gaussian_rope_like,K,32,64,4,0,rfft_parseval,0.3,5,17,0.294117647059,0.28782720131,0.28782720131,0.28782720131,0.71217279869,0.713294165702,rFFT with Parseval endpoint weights; complex coefficients preserved
historical_gaussian_rope_like,K,32,64,4,0,rfft_parseval,0.5,8,17,0.470588235294,0.47008184398,0.47008184398,0.47008184398,0.52991815602,0.53075255006,rFFT with Parseval endpoint weights; complex coefficients preserved
historical_gaussian_rope_like,K,32,64,4,0,rfft_parseval,0.7,11,17,0.647058823529,0.654966368798,0.654966368798,0.654966368798,0.345033631202,0.345576911334,rFFT with Parseval endpoint weights; complex coefficients preserved
historical_gaussian_rope_like,K,32,64,4,0,rfft_parseval,0.75,12,17,0.705882352941,0.721221882849,0.721221882849,0.721221882849,0.278778117151,0.279217073237,rFFT with Parseval endpoint weights; complex coefficients preserved
historical_gaussian_rope_like,K,32,64,4,0,rfft_parseval,0.9,15,17,0.882352941176,0.905958603055,0.905958603055,0.905958603055,0.0940413969451,0.0941894718512,rFFT with Parseval endpoint weights; complex coefficients preserved
