segment_index,token_offset,token_ids_sha256,layer,cache_stage,sequence_variant,heads,sequence_length,head_dim,transform,requested_retention_ratio,retained_components,total_components,actual_component_fraction,global_low_frequency_energy,global_top_frequency_bin_energy,global_top_vs_low_gain,global_reconstruction_relative_mse,per_head_low_frequency_energy_mean,per_head_low_frequency_energy_std,per_head_low_frequency_energy_min,per_head_low_frequency_energy_max,per_head_top_frequency_bin_energy_mean,per_head_top_frequency_bin_energy_max,dc_energy_fraction
0,0,e42abc3b8b9cdc03b24df0683846f89bef23957afd306324a77a11926a300a69,0,K_pre_rope,raw,2,512,128,dct_ii_ortho,0.1,51,512,0.099609375,0.999810445437,0.999824481904,1.40364667358e-05,0.000189554562907,0.999811335862,8.09862513446e-06,0.999803237237,0.999819434487,0.999825525879,0.99983184924,0.99977626105
0,0,e42abc3b8b9cdc03b24df0683846f89bef23957afd306324a77a11926a300a69,0,K_pre_rope,raw,2,512,128,dct_ii_ortho,0.25,128,512,0.25,0.999852296518,0.99986837554,1.60790219916e-05,0.000147703481525,0.999852972081,6.14440561075e-06,0.999846827676,0.999859116487,0.999869428157,0.999873230711,0.99977626105
0,0,e42abc3b8b9cdc03b24df0683846f89bef23957afd306324a77a11926a300a69,0,K_pre_rope,raw,2,512,128,dct_ii_ortho,0.5,256,512,0.5,0.999904639686,0.999923175204,1.85355185022e-05,9.53603140076e-05,0.99990518895,4.9956910792e-06,0.999900193259,0.999910184642,0.999924334687,0.999925739353,0.99977626105
0,0,e42abc3b8b9cdc03b24df0683846f89bef23957afd306324a77a11926a300a69,0,K_pre_rope,raw,2,512,128,dct_ii_ortho,0.75,384,512,0.75,0.999955545446,0.999966604363,1.10589171655e-05,4.44545540118e-05,0.999955782675,2.15765163214e-06,0.999953625023,0.999957940326,0.999967308666,0.999967647186,0.99977626105
0,0,e42abc3b8b9cdc03b24df0683846f89bef23957afd306324a77a11926a300a69,0,K_pre_rope,raw,2,512,128,dct_ii_ortho,0.9,460,512,0.8984375,0.999981896984,0.99998819528,6.29829633736e-06,1.81030159707e-05,0.999981986875,8.17581614854e-07,0.999981169294,0.999982804457,0.999988514333,0.999988553166,0.99977626105
0,0,e42abc3b8b9cdc03b24df0683846f89bef23957afd306324a77a11926a300a69,0,K_pre_rope,raw,2,512,128,rfft_parseval,0.1,25,257,0.0972762645914,0.999809382096,0.999819280868,9.89877237567e-06,0.000190617904173,0.999810272346,8.09703390448e-06,0.999802175312,0.99981836938,0.999820252307,0.999827131622,0.999776261058
0,0,e42abc3b8b9cdc03b24df0683846f89bef23957afd306324a77a11926a300a69,0,K_pre_rope,raw,2,512,128,rfft_parseval,0.25,64,257,0.249027237354,0.999851747417,0.999862400438,1.06530210905e-05,0.000148252583366,0.9998524275,6.18552386344e-06,0.999846241977,0.999858613024,0.999863213408,0.999867768889,0.999776261058
0,0,e42abc3b8b9cdc03b24df0683846f89bef23957afd306324a77a11926a300a69,0,K_pre_rope,raw,2,512,128,rfft_parseval,0.5,128,257,0.498054474708,0.999904302914,0.99991670556,1.24026467921e-05,9.56970864768e-05,0.999904857419,5.04335507717e-06,0.999899814063,0.999909900774,0.999917669941,0.999919799177,0.999776261058
0,0,e42abc3b8b9cdc03b24df0683846f89bef23957afd306324a77a11926a300a69,0,K_pre_rope,raw,2,512,128,rfft_parseval,0.75,192,257,0.747081712062,0.999954924582,0.999962944092,8.0195096761e-06,4.50754177135e-05,0.999955174442,2.27253208024e-06,0.99995290191,0.999957446974,0.999963501677,0.999963866923,0.999776261058
0,0,e42abc3b8b9cdc03b24df0683846f89bef23957afd306324a77a11926a300a69,0,K_pre_rope,raw,2,512,128,rfft_parseval,0.9,231,257,0.898832684825,0.999982499068,0.999986799475,4.30040748389e-06,1.75009319912e-05,0.999982580947,7.44708126055e-07,0.999981836239,0.999983325655,0.999987059835,0.999987223698,0.999776261058
0,0,e42abc3b8b9cdc03b24df0683846f89bef23957afd306324a77a11926a300a69,0,K_pre_rope,mean_removed,2,512,128,dct_ii_ortho,0.1,51,512,0.099609375,0.152786929754,0.218463668,0.0656767382456,0.847213070246,0.152389704781,0.00256099372684,0.149828711054,0.154950698508,0.218902631081,0.226520279111,2.07801642652e-17
