layer,cache_stage,sequence_variant,transform,energy_threshold,samples,global_required_components_mean,global_required_components_std,total_components_mean,total_components_std,global_required_component_fraction_mean,global_required_component_fraction_std,per_head_required_component_fraction_mean_mean,per_head_required_component_fraction_mean_std,per_head_required_component_fraction_std_mean,per_head_required_component_fraction_std_std,per_head_required_component_fraction_min_mean,per_head_required_component_fraction_min_std,per_head_required_component_fraction_max_mean,per_head_required_component_fraction_max_std
0,K_post_rope,mean_removed,dct_ii_ortho,0.9,4,369.25,13.4047566185,512,0,0.72119140625,0.0261811652704,0.711669921875,0.0271808677564,0.054931640625,0.00416472707745,0.65673828125,0.0244091791991,0.7666015625,0.0302734375
0,K_post_rope,mean_removed,dct_ii_ortho,0.95,4,439.5,7.88986691903,512,0,0.8583984375,0.0154098963262,0.85400390625,0.0146240030585,0.02734375,0.0028471444799,0.82666015625,0.0132016658541,0.88134765625,0.0164210661336
0,K_post_rope,mean_removed,dct_ii_ortho,0.99,4,497.5,1.11803398875,512,0,0.9716796875,0.00218366013428,0.97119140625,0.00201323516876,0.00537109375,0.00109183006714,0.9658203125,0.00218366013428,0.9765625,0.00239207982694
0,K_post_rope,mean_removed,rfft_parseval,0.9,4,185.75,6.6096520332,257,0,0.722762645914,0.0257184904016,0.712548638132,0.0273197406031,0.0539883268482,0.00443114473694,0.658560311284,0.0238872162603,0.766536964981,0.0310065709154
0,K_post_rope,mean_removed,rfft_parseval,0.95,4,220.5,3.84057287393,257,0,0.857976653696,0.0149438633227,0.85359922179,0.0147767096605,0.0267509727626,0.0021200870348,0.826848249027,0.0136186770428,0.880350194553,0.0161314435329
0,K_post_rope,mean_removed,rfft_parseval,0.99,4,249.5,0.5,257,0,0.970817120623,0.00194552529183,0.970817120623,0.00137569412682,0.00486381322957,0.000972762645914,0.965953307393,0.00168487432643,0.975680933852,0.00168487432643
0,K_post_rope,raw,dct_ii_ortho,0.9,4,1,0,512,0,0.001953125,0,0.001953125,0,0,0,0.001953125,0,0.001953125,0
0,K_post_rope,raw,dct_ii_ortho,0.95,4,1,0,512,0,0.001953125,0,0.001953125,0,0,0,0.001953125,0,0.001953125,0
0,K_post_rope,raw,dct_ii_ortho,0.99,4,1,0,512,0,0.001953125,0,0.001953125,0,0,0,0.001953125,0,0.001953125,0
0,K_post_rope,raw,rfft_parseval,0.9,4,1,0,257,0,0.00389105058366,0,0.00389105058366,0,0,0,0.00389105058366,0,0.00389105058366,0
0,K_post_rope,raw,rfft_parseval,0.95,4,1,0,257,0,0.00389105058366,0,0.00389105058366,0,0,0,0.00389105058366,0,0.00389105058366,0
0,K_post_rope,raw,rfft_parseval,0.99,4,1,0,257,0,0.00389105058366,0,0.00389105058366,0,0,0,0.00389105058366,0,0.00389105058366,0
