dataset,transform,blocks,papr_count,papr_mean,papr_std,excess_kurtosis_count,excess_kurtosis_mean,excess_kurtosis_std,structured_energy_1_over_8_count,structured_energy_1_over_8_mean,structured_energy_1_over_8_std,q3_relative_mse_count,q3_relative_mse_mean,q3_relative_mse_std,q4_relative_mse_count,q4_relative_mse_mean,q4_relative_mse_std,topk_1_over_64_count,topk_1_over_64_mean,topk_1_over_64_std,topk_1_over_16_count,topk_1_over_16_mean,topk_1_over_16_std,topk_1_over_8_count,topk_1_over_8_mean,topk_1_over_8_std,topk_1_over_4_count,topk_1_over_4_mean,topk_1_over_4_std
llama_down_proj,dct2,40,40,14.0927875307,2.20953338633,40,0.00344119242393,0.0658759345521,40,0.125196334361,0.00857700447046,40,0.130322669805,0.0198950828069,40,0.0240159361111,0.00368522664629,40,0.119782093186,0.00407505134212,40,0.324910990961,0.00485379934978,40,0.502026488135,0.00505933861407,40,0.723108228217,0.00406105737723
llama_down_proj,fft2_hermitian,40,40,8.0941877709,1.36997300999,40,-0.013570227006,0.0690933315032,0,,,40,0.135637515109,0.0208562935036,40,0.0247498207698,0.00385568919135,40,0.0792216397651,0.00353079324727,40,0.234551405917,0.00588790811882,40,0.383327981373,0.00636675542653,40,0.595037855005,0.00578994549173
llama_down_proj,hadamard,40,40,14.4512832816,2.48347513301,40,0.00337365876614,0.0646102316995,40,0.123732339597,0.00786247209184,40,0.133717679343,0.022914631775,40,0.0246638352538,0.00418666814253,40,0.119132241705,0.00360989549378,40,0.325198745119,0.00487361323073,40,0.503109990093,0.00514986872404,40,0.724340015236,0.00451551754837
llama_down_proj,identity,40,40,18.3472277326,9.48321987413,40,0.134846146208,0.229935140477,40,0.123847464363,0.00812878652071,40,0.168178655485,0.0780505084639,40,0.0312118598681,0.0161892583706,40,0.124157636015,0.00649669835229,40,0.331875081069,0.00969893954076,40,0.509756494301,0.00969228515926,40,0.72944633017,0.0067753059168
llama_down_proj,random_haar,40,40,14.5645974582,2.51916603854,40,-0.000878482414876,0.0744778895568,40,0.124695362739,0.00846970480772,40,0.134628857129,0.0236101150363,40,0.0247900085044,0.00423248821625,40,0.119441726583,0.00390787946085,40,0.324534783448,0.0065335408719,40,0.501531356107,0.00682012579019,40,0.723028342529,0.00518896041998
llama_down_proj,randomized_hadamard,40,40,14.4200244765,2.01047160975,40,0.00731464275428,0.0795762038692,40,0.124314975801,0.00595812655087,40,0.133624137651,0.0187119566341,40,0.0244248644333,0.00344169318709,40,0.119795609603,0.00470728445446,40,0.325280238069,0.00702239817188,40,0.503203404123,0.00624179795077,40,0.724573569278,0.00479165106146
llama_down_proj,svd_oracle_unpriced,40,40,251.897813933,18.6936863692,40,126.634193825,3.07752189518,40,0.632312100768,0.0103793683135,40,0.036286663592,0.0030107086096,40,0.00646688335016,0.000607741754838,40,1,1.16441173167e-16,40,1,1.16441173167e-16,40,1,1.16441173167e-16,40,1,1.16441173167e-16
llama_q_proj,dct2,40,40,17.6398596457,7.12348194714,40,0.357060825153,0.943821433112,40,0.129492030423,0.0242926579299,40,0.159252431477,0.0541604857849,40,0.0298676575296,0.0118874412815,40,0.132095377844,0.0304361064653,40,0.343439217268,0.0419864769564,40,0.519762214887,0.0393973545971,40,0.735170408457,0.0268034659686
llama_q_proj,fft2_hermitian,40,40,9.14819615902,1.76500474447,40,0.163597257526,0.434111346999,0,,,40,0.149798395106,0.0314258687397,40,0.0276097553028,0.0061598927619,40,0.0862023982166,0.0159065738084,40,0.245792655914,0.0270326911854,40,0.395749052405,0.0286164393772,40,0.606135684028,0.0248555949071
llama_q_proj,hadamard,40,40,15.6172794127,4.60790591368,40,0.252134003731,0.72791263357,40,0.126856859531,0.0124913152439,40,0.143756956416,0.0361076794658,40,0.0263647563075,0.00773490257252,40,0.128232477508,0.0259576601265,40,0.339989900211,0.0382155657122,40,0.518169092544,0.0365891178262,40,0.735254675986,0.0253353180896
llama_q_proj,identity,40,40,44.67620258,46.8045412464,40,5.57299027782,12.2115037124,40,0.0676415475435,0.02526061504,40,0.244235592926,0.107675116058,40,0.0605091641791,0.0460798543175,40,0.214432265992,0.145215835134,40,0.442408612872,0.144429327887,40,0.609536827274,0.11677517214,40,0.794954538425,0.0689253546368
llama_q_proj,random_haar,40,40,18.6932057066,8.36046400029,40,0.444802869212,0.948393971387,40,0.126596888524,0.0120775367809,40,0.166145526388,0.0589579412636,40,0.0317365983566,0.0140682313005,40,0.135328233249,0.0296861333645,40,0.349255259655,0.0453220789849,40,0.526179474994,0.0439212974462,40,0.740168764556,0.0308061854398
llama_q_proj,randomized_hadamard,40,40,17.7256081755,8.24396298162,40,0.303179055381,0.658847827643,40,0.12673900418,0.00986131307962,40,0.160362429936,0.0666635829594,40,0.0302293072468,0.0142319268011,40,0.13073416229,0.0235170691147,40,0.341368732589,0.0333919784034,40,0.518385337094,0.032579572037,40,0.734551083555,0.0228674677882
llama_q_proj,svd_oracle_unpriced,40,40,710.462167875,800.852621523,40,426.844233381,579.464802081,40,0.750343167204,0.124733106048,40,0.0527512626091,0.0194605709331,40,0.0118667043572,0.00768263921623,40,1,1.05325004057e-16,40,1,1.05325004057e-16,40,1,1.05325004057e-16,40,1,1.05325004057e-16
synthetic_gaussian,dct2,12,12,15.4975955847,3.00763269334,12,-0.00781873207444,0.0785393176791,12,0.126920876581,0.00557917589802,12,0.144095994887,0.0277007183266,12,0.0262940197282,0.00523451473631,12,0.118222115114,0.00403148088414,12,0.324029665769,0.00577838701046,12,0.502305015068,0.00697796351351,12,0.723602273191,0.00587272658465
synthetic_gaussian,fft2_hermitian,12,12,7.75455098852,1.17538276328,12,-0.0226736950634,0.0763442476166,0,,,12,0.127139438233,0.0251472504685,12,0.0233221107911,0.00455686345143,12,0.0791370524408,0.00358210545668,12,0.233178146162,0.00536827550524,12,0.382839365561,0.00671669457491,12,0.596563173096,0.00658669142721
synthetic_gaussian,hadamard,12,12,15.3870285242,3.84970819063,12,0.0055823728738,0.0592580587605,12,0.123835698998,0.00777853515424,12,0.14187314044,0.0335390435128,12,0.0261410828056,0.00638562029153,12,0.119079324295,0.00314608173879,12,0.325107130985,0.00416904808737,12,0.503374007056,0.00392706365389,12,0.72450620398,0.00299850170766
synthetic_gaussian,identity,12,12,15.061282286,2.34782930665,12,0.027652952159,0.050551532994,12,0.12397816148,0.00603900344419,12,0.139714543371,0.0214562608749,12,0.0256749194228,0.00395296981478,12,0.120278168585,0.00321096814658,12,0.327550579489,0.00449309833037,12,0.505341638196,0.00484286426208,12,0.725099525135,0.00461946347392
synthetic_gaussian,random_haar,12,12,14.309064864,2.58043367839,12,-0.00423462100093,0.0756766079812,12,0.122919164457,0.00550151166315,12,0.132109529142,0.0232129388429,12,0.0242198215986,0.00432311860263,12,0.119287557869,0.0042642246085,12,0.324669645617,0.00537770303946,12,0.502138408817,0.0060738746685,12,0.723117843956,0.00475793147296
synthetic_gaussian,randomized_hadamard,12,12,14.3153053514,2.04416391304,12,-0.00492703553358,0.0660154481048,12,0.125124888607,0.00757440327753,12,0.132284913469,0.018488700478,12,0.024392489955,0.00366008476458,12,0.118975907674,0.0041240081581,12,0.324753660647,0.00568415977892,12,0.502731029563,0.00452905414617,12,0.724177958515,0.00410443132774
synthetic_gaussian,svd_oracle_unpriced,12,12,240.153161279,9.81697676354,12,124.276174194,1.6198358454,12,0.625658825814,0.00624175211628,12,0.0343621406868,0.0019526679433,12,0.00638441941483,0.000403619175351,12,1,1.06295761943e-16,12,1,1.06295761943e-16,12,1,1.06295761943e-16,12,1,1.06295761943e-16
synthetic_outlier,dct2,12,12,10.861004737,1.53622181923,12,-0.235575251922,0.163615626699,12,0.123668899235,0.0177648955621,12,0.100195845881,0.0139337650369,12,0.0184318661075,0.00269444949082,12,0.10626253794,0.00795611476138,12,0.305025392719,0.0164001015616,12,0.482871527531,0.0176462475141,12,0.708958765774,0.0121680112225
synthetic_outlier,fft2_hermitian,12,12,4.93193470231,0.494840832162,12,-0.38743876382,0.171533853282,0,,,12,0.0845271130886,0.00911261443367,12,0.0154165281127,0.00167438109733,12,0.060353922559,0.00531457587641,12,0.196832131335,0.0140051447737,12,0.339719884641,0.020906243142,12,0.554582494064,0.0270319116433
synthetic_outlier,hadamard,12,12,6.94721754992,0.948550898423,12,-0.539074637204,0.21314051708,12,0.123813420024,0.00536202108712,12,0.0633696500025,0.00835378191637,12,0.0118327084876,0.00157508680711,12,0.0872470282344,0.0095968554456,12,0.273539020617,0.0234336433759,12,0.451406743707,0.0320991234899,12,0.682507114488,0.033786437925
synthetic_outlier,identity,12,12,1631.38249077,555.172504346,12,1110.75765803,434.495871549,12,0.132869958454,0.150549424457,12,0.0398505699611,0.0148285320924,12,0.0212370866774,0.0118035991705,12,0.985826278402,0.0107487221656,12,0.989194397766,0.00821289194232,12,0.992062319576,0.00600760729759,12,0.995589159135,0.00331198207464
synthetic_outlier,random_haar,12,12,30.0763157631,13.744338217,12,1.43394306268,1.00627150943,12,0.118837495332,0.0260014353897,12,0.250832093126,0.0904756048661,12,0.0507604619978,0.0224988627021,12,0.171085668345,0.030103008429,12,0.402686249194,0.0376443276168,12,0.579612400012,0.0327966375739,12,0.778846917258,0.021430250412
synthetic_outlier,randomized_hadamard,12,12,6.9924245396,0.893155671913,12,-0.540261569734,0.211664419339,12,0.124346585452,0.00151411459768,12,0.0632988821037,0.00815803862127,12,0.0119522441385,0.00153194172405,12,0.0871505946694,0.00937594264658,12,0.273638836201,0.0230207294897,12,0.451274746741,0.031927276708,12,0.682432128853,0.0340971321075
synthetic_outlier,svd_oracle_unpriced,12,12,1733.74541249,622.159819811,12,1197.30498825,491.375777151,12,0.993022505913,0.00530775349091,12,0.0348866783266,0.0125287374793,12,0.0169645323077,0.00716311450613,12,1,1.60246890532e-16,12,1,1.60246890532e-16,12,1,1.60246890532e-16,12,1,1.60246890532e-16
synthetic_smooth,dct2,12,12,1010.12321869,443.322818802,12,458.6267839,235.167731281,12,0.999988648365,3.32550125629e-06,12,0.159044254367,0.0458580351586,12,0.0502296404711,0.0148888943995,12,0.982624782926,0.00566984613999,12,0.999814265136,5.67689959883e-05,12,0.999996292278,1.15159808809e-06,12,0.999999985608,4.13035319051e-09
synthetic_smooth,fft2_hermitian,12,12,766.924108082,494.230891864,12,584.690192861,466.306577292,0,,,12,0.25109397422,0.0794165831302,12,0.105037170455,0.0355886665854,12,0.923176534297,0.0246281635762,12,0.982593696344,0.00771143112272,12,0.993801412757,0.00482738393752,12,0.998800443258,0.00167796838797
synthetic_smooth,hadamard,12,12,866.89735198,460.426665037,12,363.078704819,224.835032384,12,0.323898895428,0.108032636378,12,0.223964843879,0.0487788675444,12,0.0967974751701,0.0254652518739,12,0.919265639059,0.0237217786283,12,0.986070192067,0.00421684746005,12,0.996222394703,0.001132937589,12,0.9993751738,0.000191031598306
synthetic_smooth,identity,12,12,9.43696182626,2.50863370931,12,0.08395992341,0.499414969185,12,0.15367171878,0.0741278858583,12,0.0893778577198,0.0240353394478,12,0.0160434289348,0.00414323855497,12,0.10626863301,0.0214265347538,12,0.299233447679,0.0458475951744,12,0.469486816658,0.0508603393554,12,0.694111966781,0.0422659145241
synthetic_smooth,random_haar,12,12,36.9393093383,14.2483182805,12,2.78798559954,1.26806317724,12,0.169424119871,0.0224690197601,12,0.282332741992,0.0757396351734,12,0.0622786017639,0.0234532366357,12,0.209534889319,0.0296350227979,12,0.460617101415,0.0321865059768,12,0.634726893269,0.0269194848302,12,0.816848958997,0.0166512286248
synthetic_smooth,randomized_hadamard,12,12,26.7280111206,5.95625219498,12,1.77982075602,0.529239559628,12,0.11345175477,0.0125170017976,12,0.227651301014,0.0440927172176,12,0.045126780429,0.0097271991246,12,0.18391515996,0.0175819184488,12,0.433571212558,0.0207187096518,12,0.614166751532,0.018198869294,12,0.805707027695,0.0135217192841
synthetic_smooth,svd_oracle_unpriced,12,12,2226.41124515,430.602558935,12,1612.92681309,365.075480486,12,0.999997040995,1.43645369401e-06,12,0.0382062505601,0.00897934055697,12,0.00929636760642,0.0024309831672,12,1,1.53703417825e-16,12,1,1.53703417825e-16,12,1,1.53703417825e-16,12,1,1.53703417825e-16
