seed,q_dct_topk_1_over_8_ratio_vs_identity,q_hadamard_q3_weight_error_ratio_vs_identity,q_fft_q3_weight_error_ratio_vs_identity,down_hadamard_q3_weight_error_ratio_vs_identity,q_fft_q3_activation_error_ratio_vs_identity_q3,q_fft_q3_activation_error_ratio_vs_identity_q4,q_hadamard_q3_activation_error_ratio_vs_identity_q3,q_hybrid_q2_error_ratio_vs_hadamard_q3,q_hybrid_q3_error_ratio_vs_identity_q4,learned_error_ratio_vs_best_randomized_hadamard,kuramoto_error_ratio_vs_identity,phase_concentration_median
20260716,0.8527166721196561,0.5885995349555669,0.6133356457654464,0.7950930452956273,0.20774655651631158,0.9805676913352043,0.33409510856144237,5.011881677831847,2.2149085332998717,1.1360328610504664,1.0000000000000002,0.19534694965174196
20260717,0.8564370793799494,0.6140157217136192,0.5548131132744571,0.7969155181660548,0.3304790477323053,1.6468576645553976,0.4676975006986428,4.640102612825904,2.1703719507872163,1.19983050756606,1.0,0.2066883475579439
20260718,0.8661495022151388,0.6732350761060394,0.652124333085102,0.8269017172442782,0.44369588473540167,2.4180098442639637,0.5139913617413187,4.925189031305346,2.413824999435152,1.1136563571579248,0.9999999999999997,0.2043862187935099
20260719,0.8728040454294866,0.606821772794766,0.5789322769146973,0.8146171610720909,0.37597317146208736,1.9696681471559205,0.5771487586105379,4.904029409681876,2.295484956885872,1.144325818143153,0.9999999999999999,0.1998926816044811
20260720,0.8542949771790614,0.6136314048338857,0.6250977831665211,0.6948214291445736,0.28499468827374047,1.5035023259281741,0.39971830687919846,4.9006353012908095,2.3064673502416047,1.0290911362908892,1.0,0.2045666366992302
