benchmark,dimensions,max_ms,mean_ms,median_ms,metadata_bits,min_ms,permutation,shape,std_ms,transform,dtype,group_size,warmup,repeats,reference_implementation,fused_kernel,gpu
transform_forward,"[1, 256, 4096]",0.030719999223947525,0.0192409598082304,0.01945599913597107,0.0,0.018432000651955605,none,hidden,0.0014575010012723565,identity,float16,128,20,100,True,False,NVIDIA A800 80GB PCIe
transform_forward,"[1, 256, 4096]",0.3256320059299469,0.2737971189618111,0.27136000990867615,0.0,0.2672640085220337,none,hidden,0.00875239246394558,dct,float16,128,20,100,True,False,NVIDIA A800 80GB PCIe
transform_inverse,"[1, 256, 4096]",0.5038080215454102,0.40114175885915754,0.3962880074977875,0.0,0.3911679983139038,none,hidden,0.017090447959519275,dct,float16,128,20,100,True,False,NVIDIA A800 80GB PCIe
transform_forward,"[1, 256, 4096]",0.6021119952201843,0.5383065676689148,0.5355520248413086,0.0,0.5314559936523438,none,hidden,0.009561872399367318,hadamard,float16,128,20,100,True,False,NVIDIA A800 80GB PCIe
transform_inverse,"[1, 256, 4096]",0.5980160236358643,0.5341286325454712,0.5304319858551025,0.0,0.5273600220680237,none,hidden,0.009502698356254658,hadamard,float16,128,20,100,True,False,NVIDIA A800 80GB PCIe
transform_forward,"[1, 256, 4096]",0.3031040132045746,0.24900607883930206,0.2467840015888214,0.0,0.24371199309825897,none,hidden,0.007163693217715411,rdft,float16,128,20,100,True,False,NVIDIA A800 80GB PCIe
transform_inverse,"[1, 256, 4096]",0.3563520014286041,0.29761536240577696,0.2949120104312897,0.0,0.29183998703956604,none,hidden,0.008448490206029788,rdft,float16,128,20,100,True,False,NVIDIA A800 80GB PCIe
transform_forward,"[1, 256, 4096]",0.36454400420188904,0.3106918427348137,0.30720001459121704,22917.175106675902,0.3041279911994934,per_group_gather,hidden,0.009939758755412172,dct,float16,128,20,100,True,False,NVIDIA A800 80GB PCIe
transform_forward,"[1, 256, 11008]",0.03788800165057182,0.018933760486543178,0.018432000651955605,0.0,0.01740800030529499,none,intermediate,0.0028763101757656815,identity,float16,128,20,100,True,False,NVIDIA A800 80GB PCIe
transform_forward,"[1, 256, 11008]",4.490240097045898,0.39345152139663697,0.2836480140686035,0.0,0.27955201268196106,none,intermediate,0.6045929353606071,dct,float16,128,20,100,True,False,NVIDIA A800 80GB PCIe
transform_inverse,"[1, 256, 11008]",0.4782080054283142,0.4290662378072739,0.4270080029964447,0.0,0.42291200160980225,none,intermediate,0.0065431841858430585,dct,float16,128,20,100,True,False,NVIDIA A800 80GB PCIe
transform_forward,"[1, 256, 11008]",0.6195200085639954,0.5668044775724411,0.5642240047454834,0.0,0.5601279735565186,none,intermediate,0.007943076163081556,hadamard,float16,128,20,100,True,False,NVIDIA A800 80GB PCIe
transform_inverse,"[1, 256, 11008]",0.609279990196228,0.5625958395004272,0.5601279735565186,0.0,0.5560320019721985,none,intermediate,0.007421130284639658,hadamard,float16,128,20,100,True,False,NVIDIA A800 80GB PCIe
transform_forward,"[1, 256, 11008]",0.27955201268196106,0.25902079820632934,0.25702399015426636,0.0,0.2549760043621063,none,intermediate,0.004812528012040326,rdft,float16,128,20,100,True,False,NVIDIA A800 80GB PCIe
transform_inverse,"[1, 256, 11008]",0.33689600229263306,0.31470591843128204,0.31334400177001953,0.0,0.3092480003833771,none,intermediate,0.004906777896810751,rdft,float16,128,20,100,True,False,NVIDIA A800 80GB PCIe
transform_forward,"[1, 256, 11008]",0.3491840064525604,0.3213209596276283,0.319487988948822,61589.90809919149,0.31539198756217957,per_group_gather,intermediate,0.005395799662638936,dct,float16,128,20,100,True,False,NVIDIA A800 80GB PCIe
q_proj_online_input_rotation,"[1, 256, 4096, 4096]",0.0942080020904541,0.08442879877984524,0.08396799862384796,0.0,0.08294399827718735,none,q_proj_4096x4096,0.0015888512923591192,identity,float16,128,20,100,True,False,NVIDIA A800 80GB PCIe
q_proj_online_input_rotation,"[1, 256, 4096, 4096]",4.378623962402344,0.40085503965616226,0.35737600922584534,0.0,0.3532800078392029,none,q_proj_4096x4096,0.3999219716627615,dct,float16,128,20,100,True,False,NVIDIA A800 80GB PCIe
q_proj_online_input_rotation,"[1, 256, 4096, 4096]",4.635647773742676,0.6810726368427277,0.6133760213851929,0.0,0.5928959846496582,none,q_proj_4096x4096,0.43245812749051876,hadamard,float16,128,20,100,True,False,NVIDIA A800 80GB PCIe
q_proj_online_input_rotation,"[1, 256, 4096, 4096]",0.35225600004196167,0.32100352019071576,0.3184640109539032,0.0,0.31539198756217957,none,q_proj_4096x4096,0.0066764166138957365,rdft,float16,128,20,100,True,False,NVIDIA A800 80GB PCIe
