dataset,method,blocks,bits_per_weight_count,bits_per_weight_mean,bits_per_weight_std,relative_mse_count,relative_mse_mean,relative_mse_std,activation_output_relative_mse_count,activation_output_relative_mse_mean,activation_output_relative_mse_std
synthetic_outlier,hybrid_dct_zigzag12p5_q8_hadamard_q3,12,12,4.01953125,0,12,0.0669753645657,0.009529664935,0,,
synthetic_outlier,hybrid_dct_zigzag6p25_q8_hadamard_q3,12,12,3.51953125,0,12,0.0658433723531,0.00731398086769,0,,
synthetic_outlier,identity_q3,12,12,3.0078125,0,12,0.0398505699611,0.0148285320924,0,,
synthetic_outlier,identity_q4,12,12,4.0078125,0,12,0.0212370866774,0.0118035991705,0,,
synthetic_outlier,randomized_hadamard_q3,12,12,3.0078125,0,12,0.0634688941353,0.010230591053,0,,
synthetic_smooth,dct_q3,12,12,3.0078125,0,12,0.159044254367,0.0458580351586,0,,
synthetic_smooth,fft_q3,12,12,3.0078125,0,12,0.25109397422,0.0794165831302,0,,
synthetic_smooth,hadamard_q3,12,12,3.0078125,0,12,0.223964843879,0.0487788675444,0,,
synthetic_smooth,hybrid_dct_topk12p5_q8_hadamard_q2_oracle,12,12,4.515625,0,12,0.000399557296601,0.000140547556686,0,,
synthetic_smooth,hybrid_dct_zigzag12p5_q8_hadamard_q2,12,12,3.01953125,0,12,0.000399557296601,0.000140547556686,0,,
synthetic_smooth,hybrid_dct_zigzag12p5_q8_hadamard_q3,12,12,4.01953125,0,12,0.000116574418047,4.23730129051e-05,0,,
synthetic_smooth,hybrid_dct_zigzag6p25_q8_hadamard_q3,12,12,3.51953125,0,12,0.000186941404324,3.58096209381e-05,0,,
synthetic_smooth,identity_q3,12,12,3.0078125,0,12,0.0893778577198,0.0240353394478,0,,
synthetic_smooth,identity_q4,12,12,4.0078125,0,12,0.0160434289348,0.00414323855497,0,,
synthetic_smooth,randomized_hadamard_q3,12,12,3.0078125,0,12,0.293973965273,0.0700877070714,0,,
