variant,evidence_file,baseline,unquantized,scope,transform,bits,permutation,module_count,parameter_count,weight_relative_mse_parameter_weighted,calibration_output_relative_mse_parameter_weighted,metadata_bits,adjacent_abs_cosine_before_mean,adjacent_abs_cosine_after_mean,input_adjacent_abs_cosine_before_mean,input_adjacent_abs_cosine_after_mean,output_adjacent_abs_cosine_before_mean,output_adjacent_abs_cosine_after_mean,perplexity,fp16_baseline_perplexity_same_protocol,perplexity_delta_vs_fp16,eval_input_tokens,eval_token_offset,eval_sequence_length,eval_seconds,input_tokens_per_second,calibration_tokens,calibration_samples_per_module,model,num_attention_heads,num_key_value_heads,uses_gqa,fake_quantization_only,packed_integer_kernel
q_proj_input_rdft_q3_offset16384,runs\segment_replicates\q_proj_input_rdft_q3_offset16384.json,False,False,q_proj_input,rdft,3,none,32,536870912,0.0745737740277129,0.017629312358656106,0.0,,,,,,,5.506959392317933,5.470874374365049,0.03608501795288355,8192,16384,2048,1.6242396549787372,5043.590688658098,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
q_proj_input_rdft_q3_offset8192,runs\segment_replicates\q_proj_input_rdft_q3_offset8192.json,False,False,q_proj_input,rdft,3,none,32,536870912,0.0745737740277129,0.017629312358656106,0.0,,,,,,,4.120664729717993,4.07688878500778,0.04377594471021329,8192,8192,2048,1.3920831830473617,5884.705813389091,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
q_proj_input_spectral_dct_q3_offset16384,runs\segment_replicates\q_proj_input_spectral_dct_q3_offset16384.json,False,False,q_proj_input,dct,3,spectral,32,536870912,0.07454741818343821,0.01760068913700699,733349.6034136291,0.029470043431501836,0.03209758491721004,,,,,5.511218644275881,5.470874374365049,0.04034426991083162,8192,16384,2048,1.4464373170631006,5663.570694258177,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
q_proj_input_spectral_dct_q3_offset8192,runs\segment_replicates\q_proj_input_spectral_dct_q3_offset8192.json,False,False,q_proj_input,dct,3,spectral,32,536870912,0.07454741818343821,0.01760068913700699,733349.6034136291,0.029470043431501836,0.03209758491721004,,,,,4.11622218554098,4.07688878500778,0.03933340053320045,8192,8192,2048,1.2318963379366323,6649.910181339778,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
q_proj_output_head_dct_q3_offset16384,runs\segment_replicates\q_proj_output_head_dct_q3_offset16384.json,False,False,q_proj_output_head,dct,3,none,32,536870912,0.08235556678985118,0.018364178125586907,0.0,,,,,,,5.532791582409001,5.470874374365049,0.06191720804395118,8192,16384,2048,1.2652711640112102,6474.501461038133,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
q_proj_output_head_dct_q3_offset8192,runs\segment_replicates\q_proj_output_head_dct_q3_offset8192.json,False,False,q_proj_output_head,dct,3,none,32,536870912,0.08235556678985118,0.018364178125586907,0.0,,,,,,,4.10233968485629,4.07688878500778,0.025450899848509678,8192,8192,2048,1.4867616610135883,5509.961828323691,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
q_proj_output_head_identity_q3_offset16384,runs\segment_replicates\q_proj_output_head_identity_q3_offset16384.json,False,False,q_proj_output_head,identity,3,none,32,536870912,0.08310633011871371,0.018540004873103838,0.0,,,,,,,5.5220056044833505,5.470874374365049,0.05113123011830112,8192,16384,2048,1.5956285160500556,5134.027073092879,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
q_proj_output_head_identity_q3_offset8192,runs\segment_replicates\q_proj_output_head_identity_q3_offset8192.json,False,False,q_proj_output_head,identity,3,none,32,536870912,0.08310633011871371,0.018540004873103838,0.0,,,,,,,4.128450322602497,4.07688878500778,0.05156153759471671,8192,8192,2048,1.654533340013586,4951.245044075529,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
qk_rope_pair_dct_q3_screen,runs\screen\qk_rope_pair_dct_q3.json,False,False,qk_rope_pair,dct,3,none,64,1073741824,0.08315511399996313,0.01640329429561997,0.0,,,,,,,4.038804161196887,,,2048,0,2048,0.36274347896687686,5645.863037518611,256,16,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
qk_rope_pair_dct_q4_8192,runs\formal_8192\qk_rope_pair_dct_q4_8192.json,False,False,qk_rope_pair,dct,4,none,64,1073741824,0.015885820785618784,0.0029884832874169714,0.0,,,,,,,6.233763938055514,6.195575096408451,0.03818884164706304,8192,0,2048,2.0842536819400266,3930.423667225994,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
