data_model,cache_kind,sequence_length,energy_definition,energy_threshold,samples,zero_based_index_mean,zero_based_index_std,required_components_mean,required_components_std,total_components_mean,total_components_std,true_required_component_fraction_mean,true_required_component_fraction_std,historical_plot_label_fraction_mean,historical_plot_label_fraction_std,historical_label_understatement_mean,historical_label_understatement_std
historical_gaussian_rope_like,V,128,rfft_parseval,0.99,5,63,0,64,0,65,0,0.984615384615,0,0.969230769231,1.11022302463e-16,0.0153846153846,0
historical_gaussian_rope_like,V,32,dct_ii_ortho,0.9,5,28,0,29,0,32,0,0.90625,0,0.875,0,0.03125,0
historical_gaussian_rope_like,V,32,dct_ii_ortho,0.95,5,30,0,31,0,32,0,0.96875,0,0.9375,0,0.03125,0
historical_gaussian_rope_like,V,32,dct_ii_ortho,0.99,5,31,0,32,0,32,0,1,0,0.96875,0,0.03125,0
historical_gaussian_rope_like,V,32,rfft_historical_unweighted,0.9,5,15,0,16,0,17,0,0.941176470588,0,0.882352941176,1.11022302463e-16,0.0588235294118,0
historical_gaussian_rope_like,V,32,rfft_historical_unweighted,0.95,5,16,0,17,0,17,0,1,0,0.941176470588,0,0.0588235294118,0
historical_gaussian_rope_like,V,32,rfft_historical_unweighted,0.99,5,16,0,17,0,17,0,1,0,0.941176470588,0,0.0588235294118,0
historical_gaussian_rope_like,V,32,rfft_parseval,0.9,5,14.4,0.489897948557,15.4,0.489897948557,17,0,0.905882352941,0.0288175263857,0.847058823529,0.0288175263857,0.0588235294118,0
historical_gaussian_rope_like,V,32,rfft_parseval,0.95,5,15,0,16,0,17,0,0.941176470588,0,0.882352941176,1.11022302463e-16,0.0588235294118,0
historical_gaussian_rope_like,V,32,rfft_parseval,0.99,5,16,0,17,0,17,0,1,0,0.941176470588,0,0.0588235294118,0
historical_gaussian_rope_like,V,64,dct_ii_ortho,0.9,5,57,0,58,0,64,0,0.90625,0,0.890625,0,0.015625,0
historical_gaussian_rope_like,V,64,dct_ii_ortho,0.95,5,60,0,61,0,64,0,0.953125,0,0.9375,0,0.015625,0
historical_gaussian_rope_like,V,64,dct_ii_ortho,0.99,5,63,0,64,0,64,0,1,0,0.984375,0,0.015625,0
historical_gaussian_rope_like,V,64,rfft_historical_unweighted,0.9,5,29,0,30,0,33,0,0.909090909091,1.11022302463e-16,0.878787878788,1.11022302463e-16,0.030303030303,0
historical_gaussian_rope_like,V,64,rfft_historical_unweighted,0.95,5,31,0,32,0,33,0,0.969696969697,0,0.939393939394,0,0.030303030303,0
historical_gaussian_rope_like,V,64,rfft_historical_unweighted,0.99,5,32,0,33,0,33,0,1,0,0.969696969697,0,0.030303030303,0
historical_gaussian_rope_like,V,64,rfft_parseval,0.9,5,29,0,30,0,33,0,0.909090909091,1.11022302463e-16,0.878787878788,1.11022302463e-16,0.030303030303,0
historical_gaussian_rope_like,V,64,rfft_parseval,0.95,5,30,0,31,0,33,0,0.939393939394,0,0.909090909091,1.11022302463e-16,0.030303030303,0
historical_gaussian_rope_like,V,64,rfft_parseval,0.99,5,32,0,33,0,33,0,1,0,0.969696969697,0,0.030303030303,0
smooth_dct_decay_positive_control,K,128,dct_ii_ortho,0.9,5,5,0,6,0,128,0,0.046875,0,0.0390625,0,0.0078125,0
smooth_dct_decay_positive_control,K,128,dct_ii_ortho,0.95,5,7,0,8,0,128,0,0.0625,0,0.0546875,0,0.0078125,0
smooth_dct_decay_positive_control,K,128,dct_ii_ortho,0.99,5,11,0,12,0,128,0,0.09375,0,0.0859375,0,0.0078125,0
smooth_dct_decay_positive_control,K,128,rfft_historical_unweighted,0.9,5,3,0,4,0,65,0,0.0615384615385,0,0.0461538461538,0,0.0153846153846,0
smooth_dct_decay_positive_control,K,128,rfft_historical_unweighted,0.95,5,4.4,0.489897948557,5.4,0.489897948557,65,0,0.0830769230769,0.00753689151626,0.0676923076923,0.00753689151626,0.0153846153846,0
smooth_dct_decay_positive_control,K,128,rfft_historical_unweighted,0.99,5,13,0.894427191,14,0.894427191,65,0,0.215384615385,0.0137604183231,0.2,0.0137604183231,0.0153846153846,0
smooth_dct_decay_positive_control,K,128,rfft_parseval,0.9,5,3.6,0.489897948557,4.6,0.489897948557,65,0,0.0707692307692,0.00753689151626,0.0553846153846,0.00753689151626,0.0153846153846,0
smooth_dct_decay_positive_control,K,128,rfft_parseval,0.95,5,5,0,6,0,65,0,0.0923076923077,0,0.0769230769231,0,0.0153846153846,0
smooth_dct_decay_positive_control,K,128,rfft_parseval,0.99,5,16.4,1.35646599663,17.4,1.35646599663,65,0,0.267692307692,0.0208687076404,0.252307692308,0.0208687076404,0.0153846153846,0
smooth_dct_decay_positive_control,K,32,dct_ii_ortho,0.9,5,5,0,6,0,32,0,0.1875,0,0.15625,0,0.03125,0
smooth_dct_decay_positive_control,K,32,dct_ii_ortho,0.95,5,7,0,8,0,32,0,0.25,0,0.21875,0,0.03125,0
smooth_dct_decay_positive_control,K,32,dct_ii_ortho,0.99,5,11,0,12,0,32,0,0.375,0,0.34375,0,0.03125,0
smooth_dct_decay_positive_control,K,32,rfft_historical_unweighted,0.9,5,3,0,4,0,17,0,0.235294117647,0,0.176470588235,0,0.0588235294118,0
smooth_dct_decay_positive_control,K,32,rfft_historical_unweighted,0.95,5,4,0,5,0,17,0,0.294117647059,0,0.235294117647,0,0.0588235294118,0
smooth_dct_decay_positive_control,K,32,rfft_historical_unweighted,0.99,5,9.8,0.4,10.8,0.4,17,0,0.635294117647,0.0235294117647,0.576470588235,0.0235294117647,0.0588235294118,0
smooth_dct_decay_positive_control,K,32,rfft_parseval,0.9,5,3.6,0.489897948557,4.6,0.489897948557,17,0,0.270588235294,0.0288175263857,0.211764705882,0.0288175263857,0.0588235294118,0
smooth_dct_decay_positive_control,K,32,rfft_parseval,0.95,5,5,0,6,0,17,0,0.352941176471,0,0.294117647059,0,0.0588235294118,0
smooth_dct_decay_positive_control,K,32,rfft_parseval,0.99,5,10.6,0.489897948557,11.6,0.489897948557,17,0,0.682352941176,0.0288175263857,0.623529411765,0.0288175263857,0.0588235294118,0
smooth_dct_decay_positive_control,K,64,dct_ii_ortho,0.9,5,5.2,0.4,6.2,0.4,64,0,0.096875,0.00625,0.08125,0.00625,0.015625,0
smooth_dct_decay_positive_control,K,64,dct_ii_ortho,0.95,5,7,0,8,0,64,0,0.125,0,0.109375,0,0.015625,0
